profile,account_id,month,service,cost
mm-cake-development,230930891673,2026-01-03,AWS Backup,0.15
mm-cake-development,230930891673,2026-01-03,AWS CloudTrail,1.22
mm-cake-development,230930891673,2026-01-03,AWS Config,426.35
mm-cake-development,230930891673,2026-01-03,AWS Key Management Service,23.39
mm-cake-development,230930891673,2026-01-03,AWS Lambda,143.83
mm-cake-development,230930891673,2026-01-03,AWS Secrets Manager,86.79
mm-cake-development,230930891673,2026-01-03,AWS Systems Manager,0.06
mm-cake-development,230930891673,2026-01-03,AWS Transfer Family,377.94
mm-cake-development,230930891673,2026-01-03,AWS WAF,109.7
mm-cake-development,230930891673,2026-01-03,AWS X-Ray,2.48
mm-cake-development,230930891673,2026-01-03,Amazon DynamoDB,36.16
mm-cake-development,230930891673,2026-01-03,Amazon EC2 Container Registry (ECR),402.27
mm-cake-development,230930891673,2026-01-03,Amazon ElastiCache,1009.83
mm-cake-development,230930891673,2026-01-03,EC2 - Other,3144.17
mm-cake-development,230930891673,2026-01-03,Amazon Elastic Compute Cloud - Compute,360.69
mm-cake-development,230930891673,2026-01-03,Amazon Elastic Container Service,0.91
mm-cake-development,230930891673,2026-01-03,Amazon Elastic File System,0.06
mm-cake-development,230930891673,2026-01-03,Amazon Elastic Load Balancing,1768.03
mm-cake-development,230930891673,2026-01-03,Amazon GuardDuty,242.33
mm-cake-development,230930891673,2026-01-03,Amazon Kinesis,18.9
mm-cake-development,230930891673,2026-01-03,Amazon Location Service,0.01
mm-cake-development,230930891673,2026-01-03,Amazon Neptune,0.06
mm-cake-development,230930891673,2026-01-03,Amazon OpenSearch Service,787.64
mm-cake-development,230930891673,2026-01-03,Amazon Relational Database Service,846.38
mm-cake-development,230930891673,2026-01-03,Amazon Route 53,4.69
mm-cake-development,230930891673,2026-01-03,Amazon Simple Queue Service,6.4
mm-cake-development,230930891673,2026-01-03,Amazon Simple Storage Service,197.13
mm-cake-development,230930891673,2026-01-03,Amazon Virtual Private Cloud,1212.34
mm-cake-development,230930891673,2026-01-03,AmazonCloudWatch,2226.9
mm-cake-development,230930891673,2026-01-03,CloudWatch Events,0.03
mm-cake-development,230930891673,2026-01-03,TrendAI™ Cloud One,1454.36
mm-cake-development,230930891673,2026-02-01,AWS Backup,0.16
mm-cake-development,230930891673,2026-02-01,AWS Config,394.32
mm-cake-development,230930891673,2026-02-01,AWS Cost Explorer,0.03
mm-cake-development,230930891673,2026-02-01,AWS Key Management Service,24.46
mm-cake-development,230930891673,2026-02-01,AWS Lambda,108.12
mm-cake-development,230930891673,2026-02-01,AWS Secrets Manager,90.85
mm-cake-development,230930891673,2026-02-01,AWS Systems Manager,0.06
mm-cake-development,230930891673,2026-02-01,AWS Transfer Family,364.9
mm-cake-development,230930891673,2026-02-01,AWS WAF,116.22
mm-cake-development,230930891673,2026-02-01,AWS X-Ray,2.23
mm-cake-development,230930891673,2026-02-01,Amazon DynamoDB,31.79
mm-cake-development,230930891673,2026-02-01,Amazon EC2 Container Registry (ECR),431.94
mm-cake-development,230930891673,2026-02-01,Amazon ElastiCache,1113.39
mm-cake-development,230930891673,2026-02-01,EC2 - Other,3287.03
mm-cake-development,230930891673,2026-02-01,Amazon Elastic Compute Cloud - Compute,405.55
mm-cake-development,230930891673,2026-02-01,Amazon Elastic Container Service,0.7
mm-cake-development,230930891673,2026-02-01,Amazon Elastic File System,0.06
mm-cake-development,230930891673,2026-02-01,Amazon Elastic Load Balancing,1701.18
