workspace,slug,name,language,project,is_active,updated_on,created_on,has_pipeline,open_prs,merged_30d
syscolabs,menu-data-replicator,menu-data-replicator,unknown,Menu Core,False,2025-11-26T14:55:56.634924+00:00,2018-07-12T05:31:56.453874+00:00,,,
syscolabs,menu-core-admin-v1,menu-core-admin-v1,unknown,Menu Core,False,2019-12-11T17:53:50.612466+00:00,2018-07-12T05:35:11.002190+00:00,,,
syscolabs,menu-core-admin-v2,menu-core-admin-v2,javascript,Menu Core,True,2026-02-19T18:17:36.354534+00:00,2018-07-12T05:36:47.977562+00:00,False,19.0,0.0
syscolabs,menu-core-admin-v2-ua,menu-core-admin-v2-ua,unknown,Menu Core,False,2025-11-28T00:34:43.552410+00:00,2018-07-12T05:38:51.747439+00:00,,,
syscolabs,src-menu-core-api,src-menu-core-api,javascript,Menu Core,False,2025-07-18T18:24:54.071309+00:00,2018-07-12T05:40:39.380248+00:00,,,
syscolabs,menu-core-migrations-cake-olo,menu-core-migrations-cake-olo,unknown,Menu Core,False,2018-07-12T06:15:32.676330+00:00,2018-07-12T06:15:32.125115+00:00,,,
syscolabs,menu-core-migrations-cake-pos,menu-core-migrations-cake-pos,unknown,Menu Core,False,2018-12-12T14:16:35.709396+00:00,2018-07-12T06:16:46.994995+00:00,,,
syscolabs,menu-core-migrations-cake.net,menu-core-migrations-cake.net,unknown,Menu Core,False,2018-12-12T15:09:17.350111+00:00,2018-07-12T06:25:26.290492+00:00,,,
syscolabs,deprecated-menuadmin_v1,[DEPRECATED]menuadmin_v1,unknown,Menu Core,False,2019-09-20T08:54:11.775062+00:00,2018-07-12T06:29:27.897664+00:00,,,
syscolabs,menuadmin_v2,menuadmin_v2,unknown,Menu Core,True,2026-02-11T13:41:56.709372+00:00,2018-07-12T06:30:38.722258+00:00,False,0.0,0.0
syscolabs,billing,billing,c#,Payment Gateway,False,2020-08-20T05:45:21.074423+00:00,2018-07-12T07:11:18.407589+00:00,,,
syscolabs,billing-service,billing-service,unknown,Payment Gateway,True,2026-02-12T23:29:27.836539+00:00,2018-07-12T07:17:45.513219+00:00,False,4.0,0.0
syscolabs,business-day-library,business-day-library,unknown,Payment Gateway,False,2025-12-19T11:26:45.802883+00:00,2018-07-12T07:19:56.107363+00:00,,,
syscolabs,cake-payments-configs,cake-payments-configs,unknown,Payment Gateway,False,2020-02-20T08:30:54.669061+00:00,2018-07-12T07:23:58.460580+00:00,,,
syscolabs,cake-payments-finance,cake-payments-finance,unknown,Payment Gateway,True,2026-02-20T04:43:11.047915+00:00,2018-07-12T07:26:33.450176+00:00,False,11.0,0.0
syscolabs,cake-payments-migration,cake-payments-migration,unknown,Payment Gateway,True,2026-02-19T18:56:29.115776+00:00,2018-07-12T07:27:53.269636+00:00,False,13.0,0.0
syscolabs,cake-payments-platform,cake-payments-platform,unknown,Payment Gateway,True,2026-02-13T03:17:55.983239+00:00,2018-07-12T07:29:13.176640+00:00,False,8.0,0.0
syscolabs,chargeback-merchant-admin,chargeback-merchant-admin,unknown,Payment Gateway,True,2026-02-12T15:07:23.619838+00:00,2018-07-12T07:30:07.608127+00:00,False,8.0,0.0
syscolabs,chargeback-core,chargeback-core,unknown,Payment Gateway,True,2026-02-19T21:19:24.993426+00:00,2018-07-12T07:31:13.279440+00:00,False,5.0,0.0
syscolabs,cpm-mock,cpm-mock,unknown,Payment Gateway,False,2018-07-12T07:32:54.439535+00:00,2018-07-12T07:32:53.980937+00:00,,,
syscolabs,database-purging-scripts,database-purging-scripts,unknown,Payment Gateway,False,2019-06-24T04:47:55.631286+00:00,2018-07-12T07:34:08.007394+00:00,,,
syscolabs,docs,docs,unknown,Payment Gateway,False,2018-07-12T07:35:23.806150+00:00,2018-07-12T07:35:23.020489+00:00,,,
syscolabs,echeck-core,echeck-core,unknown,Payment Gateway,True,2026-01-21T00:26:59.734959+00:00,2018-07-12T07:37:53.675851+00:00,False,31.0,0.0
syscolabs,emafprocess,emafprocess,unknown,Payment Gateway,False,2018-07-12T07:48:44.132846+00:00,2018-07-12T07:48:43.589726+00:00,,,
syscolabs,emvcertification,emvcertification,unknown,Payment Gateway,False,2018-07-12T07:53:22.273639+00:00,2018-07-12T07:53:21.331509+00:00,,,
syscolabs,fund-mover,fund-mover,unknown,Payment Gateway,False,2018-07-12T07:54:36.612170+00:00,2018-07-12T07:54:36.535069+00:00,,,
syscolabs,fund-mover-new,fund-mover-new,unknown,Payment Gateway,False,2018-07-12T08:19:28.240675+00:00,2018-07-12T08:19:27.770807+00:00,,,
syscolabs,gateway-configs,gateway-configs,unknown,Payment Gateway,False,2019-08-30T04:53:50.695400+00:00,2018-07-12T08:21:12.281236+00:00,,,
syscolabs,idtech-parse,idtech-parse,unknown,Payment Gateway,False,2018-07-12T08:22:29.105425+00:00,2018-07-12T08:22:28.573559+00:00,,,
syscolabs,ios-sdk,ios-sdk,unknown,Payment Gateway,False,2018-07-12T08:24:03.486653+00:00,2018-07-12T08:24:01.314138+00:00,,,
syscolabs,jenkins-build-configs,jenkins-build-configs,unknown,Payment Gateway,False,2024-08-08T09:47:07.369456+00:00,2018-07-12T08:25:26.731040+00:00,,,
