key,project,type,created,resolved,total_lead_time_days,cycle_time_days
REST-18179,REST,Bug,2026-03-02T14:59:31.144-0500,2026-04-02T14:53:39.432-0400,31.0,
REST-18594,REST,Bug,2026-03-26T14:49:09.977-0400,2026-04-02T14:52:31.802-0400,7.0,
REST-17974,REST,Bug,2026-02-09T14:59:58.992-0500,2026-04-02T14:45:17.279-0400,51.9,
REST-18626,REST,Bug,2026-03-31T12:27:41.804-0400,2026-04-02T14:41:25.555-0400,2.1,
CM-438,CM,Production Change,2026-03-27T14:56:41.752-0400,2026-04-02T14:29:47.899-0400,6.0,
CM-437,CM,Production Change,2026-03-26T13:58:51.696-0400,2026-04-02T14:20:21.130-0400,7.0,
CM-421,CM,Production Change,2026-03-23T09:49:11.258-0400,2026-04-02T13:59:07.166-0400,10.2,
REST-16486,REST,Bug,2025-10-16T15:27:21.213-0400,2026-04-02T12:22:53.149-0400,167.9,
REST-17635,REST,Story,2026-01-22T14:53:51.907-0500,2026-04-02T11:56:45.000-0400,69.8,
REST-17628,REST,Story,2026-01-22T14:53:41.752-0500,2026-04-02T11:56:40.239-0400,69.8,
REST-17627,REST,Story,2026-01-22T14:53:40.274-0500,2026-04-02T11:56:35.622-0400,69.8,
REST-17626,REST,Story,2026-01-22T14:53:38.802-0500,2026-04-02T11:56:29.885-0400,69.8,
REST-17624,REST,Story,2026-01-22T14:53:37.394-0500,2026-04-02T11:56:25.046-0400,69.8,
REST-17623,REST,Story,2026-01-22T14:53:35.899-0500,2026-04-02T11:56:20.299-0400,69.8,
REST-14865,REST,Story,2025-07-11T11:06:19.201-0400,2026-04-02T11:45:53.170-0400,265.0,
OS-10020,OS,Story,2026-03-31T17:11:02.879-0400,2026-04-02T09:26:24.785-0400,1.7,
OS-10019,OS,Story,2026-03-31T17:09:04.931-0400,2026-04-02T09:16:51.519-0400,1.7,
CM-417,CM,Production Change,2026-03-23T07:18:11.593-0400,2026-04-02T08:47:38.427-0400,10.1,
REST-18497,REST,Technical Story,2026-03-23T07:34:12.629-0400,2026-04-02T08:27:11.862-0400,10.0,
UP-4273,UP,Story,2026-02-13T14:15:43.379-0500,2026-04-01T23:51:34.314-0400,47.4,
