board,sprint,sprint_id,start_date,total_issues,sampled,original_scope,added_mid_sprint,unknown,scope_change_pct,done_issues
Tesla Scrum Board,Ops Prime 2026 Q 1.2,2679,2026-01-21T14:47:59.654Z,103,30,0,30,0,100.0,114
Tesla Scrum Board,Ops Prime 2026 Q 1.3,2680,2026-02-04T12:38:07.071Z,100,30,12,18,0,60.0,78
Tesla Scrum Board,Ops Prime 2026 Q 1.4,2713,2026-02-18T12:20:47.709Z,89,30,13,17,0,56.7,56
WOL - Scrum Board,WOL 2026 Q 1.4,2640,2026-02-18T12:22:19.088Z,57,30,14,16,0,53.3,53
WOL - Scrum Board,WOL 2026 Q 1.5,2641,2026-03-03T21:32:35.718Z,28,28,19,9,0,32.1,28
WOL - Scrum Board,WOL 2026 Q 1.6,2642,2026-03-18T13:47:03.389Z,41,30,11,19,0,63.3,26
SNUS - Scrum Board,Maui 2026 Q 1.4,2644,2026-02-18T12:21:29.572Z,14,14,7,7,0,50.0,14
SNUS - Scrum Board,Maui 2026 Q 1.5,2645,2026-03-03T21:32:03.483Z,22,22,18,4,0,18.2,22
SNUS - Scrum Board,Maui 2026 Q 1.6,2646,2026-03-18T13:47:05.309Z,14,14,11,3,0,21.4,14
BB - Scrum Board,Maui 2025 Q 4.3,2177,2025-10-29T10:58:53.633Z,9,9,3,6,0,66.7,9
BB - Scrum Board,Maui 2026 Q 1.1,2536,2026-01-07T14:29:57.630Z,24,24,6,18,0,75.0,24
CAS Scrum Board,CASTOR 2025 Q4.2,2305,2025-10-01T09:23:43.456Z,22,22,19,3,0,13.6,19
CAS Scrum Board,CASTOR 2025 Q4.3,2306,2025-10-16T03:19:09.933Z,10,10,0,10,0,100.0,0
REST Scrum Board,Ops Prime 2026 Q 1.2,2679,2026-01-21T14:47:59.654Z,103,30,0,30,0,100.0,114
REST Scrum Board,Ops Prime 2026 Q 1.3,2680,2026-02-04T12:38:07.071Z,100,30,12,18,0,60.0,78
REST Scrum Board,Ops Prime 2026 Q 1.4,2713,2026-02-18T12:20:47.709Z,89,30,13,17,0,56.7,56
Platform Retail - Scrum Board,Maui 2025 Q 4.6,2180,2025-12-10T13:52:22.729Z,12,12,4,8,0,66.7,12
Platform Retail - Scrum Board,Maui 2026 Q 1.1,2536,2026-01-07T14:29:57.630Z,24,24,6,18,0,75.0,24
Platform Retail - Scrum Board,Maui 2026 Q 1.3,2643,2026-02-04T17:44:55.885Z,13,13,9,4,0,30.8,13
OS Scrum Board,Ops Prime 2026 Q 1.4,2713,2026-02-18T12:20:47.709Z,89,30,13,17,0,56.7,56
OS Scrum Board,Ops Prime 2026 Q 1.5,2886,2026-03-03T21:31:40.877Z,81,30,12,18,0,60.0,46
OS Scrum Board,Ops Prime 2026 Q 1.6,2887,2026-03-18T15:47:04.892Z,90,30,10,20,0,66.7,49
Ops Prime Scrum Board,Ops Prime 2026 Q 1.4,2713,2026-02-18T12:20:47.709Z,89,30,13,17,0,56.7,56
Ops Prime Scrum Board,Ops Prime 2026 Q 1.5,2886,2026-03-03T21:31:40.877Z,81,30,12,18,0,60.0,46
Ops Prime Scrum Board,Ops Prime 2026 Q 1.6,2887,2026-03-18T15:47:04.892Z,90,30,10,20,0,66.7,49
Winmark Scrum Board ,WM 2026 Q 1.9,3003,2026-03-12T13:00:34.051Z,100,30,21,9,0,30.0,76
Winmark Scrum Board ,WM 2026 Q 1.10,3036,2026-03-19T12:00:22.959Z,100,30,21,9,0,30.0,64
Winmark Scrum Board ,WM 2026 Q 1.11,3069,2026-03-26T13:00:35.543Z,83,30,21,9,0,30.0,11
WOL_HULK - Scrum Board,WOL 2026 Q 1.4,2640,2026-02-18T12:22:19.088Z,57,30,14,16,0,53.3,53
WOL_HULK - Scrum Board,WOL 2026 Q 1.5,2641,2026-03-03T21:32:35.718Z,28,28,19,9,0,32.1,28
WOL_HULK - Scrum Board,WOL 2026 Q 1.6,2642,2026-03-18T13:47:03.389Z,41,30,11,19,0,63.3,26
SGNT - Scrum Board,Maui 2026 Q 1.2,2571,2026-01-21T12:00:47.950Z,16,16,11,5,0,31.2,16
SGNT - Scrum Board,Maui 2026 Q 1.5,2645,2026-03-03T21:32:03.483Z,22,22,18,4,0,18.2,22
SGNT - Scrum Board,Maui 2026 Q 1.6,2646,2026-03-18T13:47:05.309Z,14,14,11,3,0,21.4,14
WEMA - Scrum Board,Maui 2025 Q 4.3,2177,2025-10-29T10:58:53.633Z,9,9,3,6,0,66.7,9
WEMA - Scrum Board,Maui 2025 Q 4.4,2178,2025-11-12T12:11:02.693Z,18,18,13,5,0,27.8,18
WEMA - Scrum Board,Maui 2025 Q 4.6,2180,2025-12-10T13:52:22.729Z,12,12,4,8,0,66.7,12
RL - Scrum Board,WOL 2026 Q 1.4,2640,2026-02-18T12:22:19.088Z,57,30,14,16,0,53.3,53
RL - Scrum Board,WOL 2026 Q 1.5,2641,2026-03-03T21:32:35.718Z,28,28,19,9,0,32.1,28
RL - Scrum Board,WOL 2026 Q 1.6,2642,2026-03-18T13:47:03.389Z,41,30,11,19,0,63.3,26
MAUI Scrum Board,Maui 2026 Q 1.4,2644,2026-02-18T12:21:29.572Z,14,14,7,7,0,50.0,14
MAUI Scrum Board,Maui 2026 Q 1.5,2645,2026-03-03T21:32:03.483Z,22,22,18,4,0,18.2,22
MAUI Scrum Board,Maui 2026 Q 1.6,2646,2026-03-18T13:47:05.309Z,14,14,11,3,0,21.4,14
RRS Scrum Board,Maui 2026 Q 1.4,2644,2026-02-18T12:21:29.572Z,14,14,7,7,0,50.0,14
RRS Scrum Board,Maui 2026 Q 1.5,2645,2026-03-03T21:32:03.483Z,22,22,18,4,0,18.2,22
RRS Scrum Board,Maui 2026 Q 1.6,2646,2026-03-18T13:47:05.309Z,14,14,11,3,0,21.4,14
UR Scrum Board,Maui 2026 Q 1.4,2644,2026-02-18T12:21:29.572Z,14,14,7,7,0,50.0,14
UR Scrum Board,Maui 2026 Q 1.5,2645,2026-03-03T21:32:03.483Z,22,22,18,4,0,18.2,22
UR Scrum Board,Maui 2026 Q 1.6,2646,2026-03-18T13:47:05.309Z,14,14,11,3,0,21.4,14
